問題上,問題中,問題下,解答,識別文字,識別番号
同盟の,紐帯,となる条約を結ぶ。,ちゅうたい,紐帯ちゅうたい,86
,禰宜,は神主の下に位する。,ねぎ,禰宜ねぎ,87
仕事での失敗を,弥縫,する。,びほう,弥縫びほう,88
,儲君,には厳しい作法をしつける。,ちょくん,儲君ちょくん,89
演習用に,廠舎,が仮設される。,しょうしゃ,廠舎しょうしゃ,90
,祁寒,でも子供たちは元気だ。,きかん,祁寒きかん,91
,郁郁,たる梅花に時を忘れる。,いくいく,郁郁いくいく,92
,翠嵐,のなかを歩く。,すいらん,翠嵐すいらん,93
,穆穆,たる天子に仕える。,ぼくぼく,穆穆ぼくぼく,94
,熊胆,は胃薬などとして珍重される。,ゆうたん,熊胆ゆうたん,95
彼とは,爾汝,の間柄だ。,じじょ,爾汝じじょ,96
サッカーで,頸椎,を損傷する。,けいつい,頸椎けいつい,97
,暴戻,な領主に抗議する。,ぼうれい,暴戻ぼうれい,98
花の描かれた,罫紙,を購入する。,けいし,罫紙けいし,99
,蔚蔚,たる原始林が広がる。,うつうつ,蔚蔚うつうつ,100
,抹消,にとらわれて本質を忘れる。,まっしょう,抹消まっしょう,101
宇宙工学の,碩学,として有名だ。,せきがく,碩学せきがく,102
政治家の疑惑が,払拭,できない。,ふっしょく,払拭ふっしょく,103
,晦渋,な文章を読み下す。,かいじゅう,晦渋かいじゅう,104
,夙夜,、仕事に勤しむ。,しゅくや,夙夜しゅくや,105
,翠黛,の山に絵筆をとる。,すいたい,翠黛すいたい,106
植物が土地に,馴化,していく。,じゅんか,馴化じゅんか,107
文化人類学に,造詣,が深い。,ぞうけい,造詣ぞうけい,108
古句を,補綴,し詩文を作る。,ほてい,補綴ほてい,133
耳を,聾,する騒音が安眠を妨げた。,ろう,聾ろう,134
父の,枕頭,にはいつも本がある。,ちんとう,枕頭ちんとう,135
堂内の,厨子,に秘仏を安置する。,ずし,厨子ずし,136
融通,無碍,の境地に達する。,むげ,無碍むげ,137
,亥月,を迎えて紅葉が見頃だ。,がいげつ,亥月がいげつ,138
舞台で,艶冶,な舞いを披露する。,えんや,艶冶えんや,139
吹雪の中、,蓑笠,の翁に出会った。,さりゅう,蓑笠さりゅう,140
古代中国では,亀卜,で占った。,きぼく,亀卜きぼく,141
長身,痩軀,でモデルのようだ。,そうく,痩軀そうく,142
,徽章,を胸につける。,きしょう,徽章きしょう,143
,蟬脱,の境地に達する。,せんだつ,蟬脱せんだつ,144
,犀利,な筆致でぐいぐい読ませる。,さいり,犀利さいり,145
助役が,瀆職,で捕まった。,とくしょく,瀆職とくしょく,146
互いに署名,捺印,する。,なついん,捺印なついん,147
番傘には,桐油,を使う。,とうゆ,桐油とうゆ,148
死を悼み,挽歌,を送る。,ばんか,挽歌ばんか,149
猛獣が,爪牙,を向けて獲物に迫る。,そうが,爪牙そうが,150
,熊掌,は中国で美味の象徴とされている。,ゆうしょう,熊掌ゆうしょう,151
激しい,口吻,でなじられた。,こうふん,口吻こうふん,152
周囲の疑惑を,払拭,する。,ふっしょく,払拭ふっしょく,153
正月から,椿事,が起こる。,ちんじ,椿事ちんじ,154
彼はなかなかの,尤物,だ。,ゆうぶつ,尤物ゆうぶつ,155
,禾穀,の豊かな土地で生活する。,かこく,禾穀かこく,156
,厩舎,からいななきが聞こえる。,きゅうしゃ,厩舎きゅうしゃ,157
,乃公,とは自分のことを指す。,だいこう,乃公だいこう,158
,堰堤,を設けて川の水位を調整する。,えんてい,堰堤えんてい,159
僧侶が,錫杖,を鳴らす。,しゃくじょう,錫杖しゃくじょう,160
先生に,欽慕,の情を抱く。,きんぼ,欽慕きんぼ,161
,彼此,の別について論議する。,ひし,彼此ひし,162
人柄が表れた,暢達,な筆跡だ。,ちょうたつ,暢達ちょうたつ,187
,杏林,とは医者の美称だ。,きょうりん,杏林きょうりん,188
内紛に乗じて隣国を,併吞,する。,へいどん,併吞へいどん,189
資金不足で計画は,頓挫,した。,とんざ,頓挫とんざ,190
,些事,にこだわると大局を見失う。,さじ,些事さじ,191
昔、高官は,卿相,と呼ばれていた。,けいしょう,卿相けいしょう,192
ヨーロッパの古き,都邑,を訪ねる。,とゆう,都邑とゆう,193
純文学について,喋喋,と論じた。,ちょうちょう,喋喋ちょうちょう,194
,鉄桶,の防備でつけいるすきがない。,てっとう,鉄桶てっとう,195
積年の,仇怨,を晴らす時が来た。,きゅうえん,仇怨きゅうえん,196
,鬱散,に酒でも飲まないか。,うっさん,鬱散うっさん,197
王より,優渥,なる処遇を受ける。,ゆうあく,優渥ゆうあく,198
幼少の頃より,穎脱,した神童だった。,えいだつ,穎脱えいだつ,199
政党の,領袖,となる。,りょうしゅう,領袖りょうしゅう,200
優勝者に,賞牌,を授与する。,しょうはい,賞牌しょうはい,201
血縁や地縁は社会の,紐帯,である。,ちゅうたい,紐帯ちゅうたい,202
古代の漢籍に,倭訓,を付ける。,わくん,倭訓わくん,203
珍しい世界の切手を,蒐集,する。,しゅうしゅう,蒐集しゅうしゅう,204
雪の中を,蓑笠,の翁が歩いていく。,さりゅう,蓑笠さりゅう,205
功名を立てて,桑梓,の地に帰る。,そうし,桑梓そうし,206
,肴核,既に尽きて杯盤狼ぜきたり。,こうかく,肴核こうかく,207
天皇の,輔弼,として政治を助ける。,ほひつ,輔弼ほひつ,208
綱紀の,匡正,を行う。,きょうせい,匡正きょうせい,209
遠方で暮らす,姪孫,に文を送る。,てっそん,姪孫てっそん,210
,弓箭,の出を鼻にかける。,きゅうせん,弓箭きゅうせん,211
,頁岩,は泥土が積み重なってできた。,けつがん,頁岩けつがん,212
鶴,九皐,に鳴き、声、天に聞こゆ。,きゅうこう,九皐きゅうこう,213
,萱堂,には大変お世話になりました。,けんどう,萱堂けんどう,214
,岡阜,に登って町を眺める。,こうふ,岡阜こうふ,215
ショックで,瞳孔,が開いた。,どうこう,瞳孔どうこう,216
稲の,禾穂,を調べる。,かすい,禾穂かすい,241
初対面で照れくさそうに,掻頭,する。,そうとう,掻頭そうとう,242
,赫灼,たる太陽の光を浴びる。,かくしゃく,赫灼かくしゃく,243
,茅屋,に招いて酒を酌み交わす。,ぼうおく,茅屋ぼうおく,244
万死を,矛戟,の下に免るることを得たり。,ぼうげき,矛戟ぼうげき,245
終日,盤桓,して名刹の風景を楽しむ。,ばんかん,盤桓ばんかん,246
人民が徳治の,馨香,をたたえる。,けいこう,馨香けいこう,247
日本の古い,世諺,を調べる。,せいげん,世諺せいげん,248
,瑠璃,色に光る宝石に魅せられる。,るり,瑠璃るり,249
伝統的な,捺染,の技術を伝承する。,なっせん,捺染なっせん,250
,曽遊,の地を再び訪ねる。,そうゆう,曽遊そうゆう,251
,芝蘭,の室に入るが如し。,しらん,芝蘭しらん,252
,衣桁,に着物が掛けてある。,いこう,衣桁いこう,253
彼女の母は,豊頬,の美人だ。,ほうきょう,豊頬ほうきょう,254
古代中国の,揖譲,の礼を学ぶ。,ゆうじょう,揖譲ゆうじょう,255
この物語の主人公は,妖姫,だ。,ようき,妖姫ようき,256
両者の立場を,秤量,する。,しょうりょう,秤量しょうりょう,257
昔話を,集輯,する。,しゅうしゅう,集輯しゅうしゅう,258
無知,蒙昧,の輩ほど楽観している。,もうまい,蒙昧もうまい,259
海軍で,烹炊,班に所属していた。,ほうすい,烹炊ほうすい,260
シャツの破れを,補綴,する。,ほてい,補綴ほてい,261
イソギンチャクは,腔腸,動物。,こうちょう,腔腸こうちょう,262
恩師の,斌斌,たる人柄が偲ばれる。,ひんぴん,斌斌ひんぴん,263
,鰐魚,を海の神とする説話がある。,がくぎょ,鰐魚がくぎょ,264
ご,諒恕,のほどお願い申し上げます。,りょうじょ,諒恕りょうじょ,265
,竪子,与に謀るに足らず。,じゅし,竪子じゅし,266
吾に大樹有り、人之を,樗,と謂う。,ちょ,樗ちょ,267
,象著,と玉杯を贈られた。,ぞうちょ,象著ぞうちょ,268
,畢生,の大作を書き上げた。,ひっせい,畢生ひっせい,269
先祖の霊をまつる,霊廟,がある。,れいびょう,霊廟れいびょう,270
知人の,鶯遷,をお祝いした。,おうせん,鶯遷おうせん,295
四方に,城砦,を築く。,じょうさい,城砦じょうさい,296
,庚申,信仰は道教に由来する。,こうしん,庚申こうしん,297
時間を忘れて推理小説を,耽読,した。,たんどく,耽読たんどく,298
表面に,粟粒,大の汚れが付着する。,ぞくりゅう,粟粒ぞくりゅう,299
,杜漏,な計画はすぐに破綻する。,ずろう,杜漏ずろう,300
香木の質の良いものを,伽羅,と呼ぶ。,きゃら,伽羅きゃら,301
人の,云為,をいちいちあげつらう。,うんい,云為うんい,302
苦しい事情をご,憐察,下さい。,れんさつ,憐察れんさつ,303
,䇮苒,として日を送る。,じんぜん,䇮苒じんぜん,304
,柴扉,に暮らしております。,さいひ,柴扉さいひ,305
,屑屑,として仕事に励む。,せつせつ,屑屑せつせつ,306
家族で祖母の,椿寿,を祝った。,ちんじゅ,椿寿ちんじゅ,307
,厩肥,を使って作物を育てる。,きゅうひ,厩肥きゅうひ,308
,嫉妬,は愛情の裏返しだ。,しっと,嫉妬しっと,309
,袖珍,本を携帯する。,しゅうちん,袖珍しゅうちん,310
修験者が,兜巾,をかぶっている。,ときん,兜巾ときん,311
,佳肴,に舌鼓を打つ。,かこう,佳肴かこう,312
山中にはいくつかの,邑落,がある。,ゆうらく,邑落ゆうらく,313
全会一致で社長に,推挽,された。,すいばん,推挽すいばん,314
,禾黍,の生長を楽しみにする。,かしょ,禾黍かしょ,315
帰国の,允許,をいただいた。,いんきょ,允許いんきょ,316
備蓄しておいた,稲粟,。,とうぞく,稲粟とうぞく,317
瞑想にふけり,無碍,の境地に達した。,むげ,無碍むげ,318
戦争では,尖兵,として戦った。,せんぺい,尖兵せんぺい,319
引きあげられた船が,曳航,される。,えいこう,曳航えいこう,320
彼の,凋落,ぶりは目を覆うばかりだ。,ちょうらく,凋落ちょうらく,321
,廟議,により決定が下された。,びょうぎ,廟議びょうぎ,322
中国の,朔北,の地を訪れる。,さくほく,朔北さくほく,323
,苧麻,の繊維で布を織り縄を作る。,ちょま,苧麻ちょま,324
一面の,禾穎,が秋を告げている。,かえい,禾穎かえい,349
,塵芥,の処理をきちんと行う。,じんかい,塵芥じんかい,350
大王は,卜占,にて政事を執り行った。,ぼくせん,卜占ぼくせん,351
,暁闇,をついて旅路に就いた。,ぎょうあん,暁闇ぎょうあん,352
ここに収入印紙を,貼用,する。,ちょうよう,貼用ちょうよう,353
,荻花,の風景に秋を感じる。,てきか,荻花てきか,354
,甥姪,が集まり祝ってくれた。,せいてつ,甥姪せいてつ,355
橋の,勾欄,に見事な装飾が施されている。,こうらん,勾欄こうらん,356
その生き物は木の穴に,棲息,する。,せいそく,棲息せいそく,357
路傍で拾った子犬を,鍾愛,する。,しょうあい,鍾愛しょうあい,358
彼女の,湛然,とした態度に感心する。,たんぜん,湛然たんぜん,359
師のご,叱正,を仰いだ。,しっせい,叱正しっせい,360
,凋残,の姿に切なさをおぼえる。,ちょうざん,凋残ちょうざん,361
失敗した事業の赤字を,補塡,する。,ほてん,補塡ほてん,362
穢れた世界を,厭離,する。,おんり,厭離おんり,363
美しい景色を前に,名諺,を口ずさむ。,めいげん,名諺めいげん,364
,舌尖,鋭く相手に詰め寄る。,ぜっせん,舌尖ぜっせん,365
敵軍の将は,焚刑,に処せられた。,ふんけい,焚刑ふんけい,366
時に,蟹行,鳥跡に倦みたる眼を移す。,かいこう,蟹行かいこう,367
,沃土,を耕して作物を作る。,よくど,沃土よくど,368
,老爺,が道具の手入れをしている。,ろうや,老爺ろうや,369
,閏月,がある年を調べる。,じゅんげつ,閏月じゅんげつ,370
秋になると鮭が川を,遡上,する。,そじょう,遡上そじょう,371
裁判官が証人に,審訊,する。,しんじん,審訊しんじん,372
両軍相まみえて,剣戟,を振るう。,けんげき,剣戟けんげき,373
殿の前に,膝行,して寄る。,しっこう,膝行しっこう,374
皇帝の前にして神妙に,叩首,する。,こうしゅ,叩首こうしゅ,375
,花蕊,から柔らかな香りがする。,かずい,花蕊かずい,376
酒や賭け事に,耽溺,する。,たんでき,耽溺たんでき,377
契約書に署名とともに,押捺,する。,おうなつ,押捺おうなつ,378
,葱青,の草原で春を感じる。,そうせい,葱青そうせい,1917
立派な,翰墨,で書画を書く。,かんぼく,翰墨かんぼく,1918
山小屋の,釜竈,を使って飯を炊く。,ふそう,釜竈ふそう,1919
発掘された,箭頭,を調査する。,せんとう,箭頭せんとう,1920
強壮剤として,鹿茸,を処方する。,ろくじょう,鹿茸ろくじょう,1921
,戎馬,をそろえて戦闘に臨む。,じゅうば,戎馬じゅうば,1922
,壺中,の天に遊び雑事を忘れる。,こちゅう,壺中こちゅう,1923
,塵芥,の処理方法を見直す。,じんかい,塵芥じんかい,1924
陳列された,菱花,鏡を選別する。,りょうか,菱花りょうか,1925
檜の名木は,馨逸,だ。,けいいつ,馨逸けいいつ,1926
,卦兆,で国が動いた時代があった。,かちょう,卦兆かちょう,1927
,僻遠,の地に赴任する。,へきえん,僻遠へきえん,1928
出土した,蠣殻,を分析する。,れいかく,蠣殻れいかく,1929
この身の,鴻毛,より軽くなるを欲す。,こうもう,鴻毛こうもう,1930
贅沢,三昧,の生活を送る。,ざんまい,三昧ざんまい,1931
,蕪辞,を連ねてお祝いの言葉とする。,ぶじ,蕪辞ぶじ,1932
皮膚がむくみ,浮腫,ができている。,ふしゅ,浮腫ふしゅ,1933
一心に,悉皆,成仏を唱える。,しっかい,悉皆しっかい,1934
力が技を,凌駕,した。,りょうが,凌駕りょうが,1935
南北朝は,正閏,の争いの時代だった。,せいじゅん,正閏せいじゅん,1936
異物を,咽下,しないように気をつける。,えんか,咽下えんか,1937
彼は私の,外甥,だ。,がいせい,外甥がいせい,1938
,黛青,の山を眺め、春を感じる。,たいせい,黛青たいせい,1939
仔馬を,馴致,して競走馬に育てる。,じゅんち,馴致じゅんち,1940
,豊稔,を祈願する祭りが催される。,ほうじん,豊稔ほうじん,1941
長身で,痩軀,の美青年だ。,そうく,痩軀そうく,1942
やっとの思いで,允可,を得た。,いんか,允可いんか,1943
岩に,波濤,が押し寄せる。,はとう,波濤はとう,1944
事故船を,曳航,する船が到着した。,えいこう,曳航えいこう,1945
,凄絶,な試合に目を奪われる。,せいぜつ,凄絶せいぜつ,1946
河川の,溢水,を食い止める。,いっすい,溢水いっすい,1971
,僻遠,の地で人生を送る。,へきえん,僻遠へきえん,1972
そろそろ稲を,播植,する時期だ。,はしょく,播植はしょく,1973
苦境にある時も,鷹揚,に構える。,おうよう,鷹揚おうよう,1974
庭師に生垣を,揃刈,してもらう。,せんがい,揃刈せんがい,1975
,薬匙,は金銀ぞうげなどで製造した。,やくし,薬匙やくし,1976
家々の,砧声,に耳を傾ける。,ちんせい,砧声ちんせい,1977
人質を残らず,串殺,する。,せんさつ,串殺せんさつ,1978
私の,嚢中,には一物もない。,のうちゅう,嚢中のうちゅう,1979
遺跡から,箭頭,が発掘された。,せんとう,箭頭せんとう,1980
小高い丘から,緑埜,を眺める。,りょくや,緑埜りょくや,1981
民のため,清穆,の世が続くことを望む。,せいぼく,清穆せいぼく,1982
すべての財産を,蕩尽,した。,とうじん,蕩尽とうじん,1983
開発のための各社製品を,嘗試,する。,しょうし,嘗試しょうし,1984
苦い薬を,咽下,する。,えんか,咽下えんか,1985
上官に対して,揖拝,する。,ゆうはい,揖拝ゆうはい,1986
ご退院後もご,加餐,ください。,かさん,加餐かさん,1987
,呪術,に詳しい人に会った。,じゅじゅつ,呪術じゅじゅつ,1988
彼を,樗材,と決めつけてはならない。,ちょざい,樗材ちょざい,1989
あまりの苦しみに,悶絶,した。,もんぜつ,悶絶もんぜつ,1990
たくさんの,蠣殻,が捨てられている。,れいかく,蠣殻れいかく,1991
神社で,豊稔,。,ほうじん,豊稔ほうじん,1992
,老爺,の昔語りを聞く。,ろうや,老爺ろうや,1993
戦時中の飢えは,芋粥,でしのいだ。,うしゅく,芋粥うしゅく,1994
美しい,堆朱,の椀に見とれる。,ついしゅ,堆朱ついしゅ,1995
畑に家畜の,厩肥,を撒く。,きゅうひ,厩肥きゅうひ,1996
,烏鷺,の争いが繰り広げられる。,うろ,烏鷺うろ,1997
,燦然,と輝く宝石を見つめる。,さんぜん,燦然さんぜん,1998
,急灘,を越えるための訓練をする。,きゅうだん,急灘きゅうだん,1999
南北朝では,正閏,の論争が絶えない。,せいじゅん,正閏せいじゅん,2000
双方の話が,吻合,する。,ふんごう,吻合ふんごう,2025
山奥の一軒家で,好好爺,に出会う。,こうこうや,好好爺こうこうや,2026
楽器の,律呂,を調える。,りつりょ,律呂りつりょ,2027
村の家々から,砧声,が響く。,ちんせい,砧声ちんせい,2028
仲間と,翰墨,の会を催す。,かんぼく,翰墨かんぼく,2029
幾多の,戎馬,を従えて出陣する。,じゅうば,戎馬じゅうば,2030
生い茂った庭木を,揃刈,する。,せんがい,揃刈せんがい,2031
,清穆,の世に心安らかに過ごす。,せいぼく,清穆せいぼく,2032
,葱青,の高原で深呼吸する。,そうせい,葱青そうせい,2033
相手チームの陣に,撞入,する。,とうにゅう,撞入とうにゅう,2034
作物は,播植,の時期が重要だ。,はしょく,播植はしょく,2035
,菱花,鏡に自分の姿を映す。,りょうか,菱花りょうか,2036
上官に対しては,揖拝,すべし。,ゆうはい,揖拝ゆうはい,2037
,薬匙,を使って処方する。,やくし,薬匙やくし,2038
漢方医が,鹿茸,を処方する。,ろくじょう,鹿茸ろくじょう,2039
食べ物がなくなり,芋粥,でしのぐ。,うしゅく,芋粥うしゅく,2040
遥か無効に,緑埜,が広がる。,りょくや,緑埜りょくや,2041
開発中の製品を,嘗試,する。,しょうし,嘗試しょうし,2042
,鉤餌,も万全で獲物を待つばかりだ。,こうじ,鉤餌こうじ,2043
,托鉢,の僧が街角に立つ。,たくはつ,托鉢たくはつ,2044
彼は,斯界,の権威だ。,しかい,斯界しかい,2045
,臼杵,を使って穀物を砕く。,きゅうしょ,臼杵きゅうしょ,2046
体が,脆弱,で学校を休みがちだ。,ぜいじゃく,脆弱ぜいじゃく,2047
心の,深淵,が知る由もない。,しんえん,深淵しんえん,2048
堕落した生活から,蟬脱,する。,せんだつ,蟬脱せんだつ,2049
,雌蕊,に花粉をつけて受精させる。,しずい,雌蕊しずい,2050
占い師が,卦兆,を告げる。,かちょう,卦兆かちょう,2051
裏事情について,知悉,している。,ちしつ,知悉ちしつ,2052
泣いている,嬰児,をあやす。,えいじ,嬰児えいじ,2053
,巽位,とは東南の方角をさす。,そんい,巽位そんい,2054
手術で傷跡を,吻合,した。,ふんごう,吻合ふんごう,2079
動物を,馴致,して芸を教える。,じゅんち,馴致じゅんち,2080
,允可,を得て念願の夢を果たす。,いんか,允可いんか,2081
,鶯遷,の夢に溢れている。,おうせん,鶯遷おうせん,2082
,禿筆,をなめつつ拙文を書く。,とくひつ,禿筆とくひつ,2083
書家らしい,雅馴,な書きぶりだ。,がじゅん,雅馴がじゅん,2084
,凌雲,の志を抱く。,りょううん,凌雲りょううん,2085
与えられた,葛衣,を身にまとう。,かつい,葛衣かつい,2086
旅先で,松濤,に耳をすます。,しょうとう,松濤しょうとう,2087
相手を,歯牙,にもかけない態度だ。,しが,歯牙しが,2088
騒動の,首魁,を捕らえる。,しゅかい,首魁しゅかい,2089
神社の,廟宇,に参拝する。,びょうう,廟宇びょうう,2090
,凄絶,な格闘が繰り広げられる。,せいぜつ,凄絶せいぜつ,2091
やっとの思いで,夙志,を叶える。,しゅくし,夙志しゅくし,2092
釣った魚を,串殺,する。,せんさつ,串殺せんさつ,2093
財産をすっかり,蕩尽,してしまった。,とうじん,蕩尽とうじん,2094
,天蓋,つきのベッドで眠る。,てんがい,天蓋てんがい,2095
,乞巧,の祭りが行われる。,きっこう,乞巧きっこう,2096
,馨逸,の名木の香りを楽しむ。,けいいつ,馨逸けいいつ,2097
,跨線橋,から電車を眺める。,こせんきょう,跨線橋こせんきょう,2098
演奏を前に,律呂,を調える。,りつりょ,律呂りつりょ,2099
作品の,草藁,が固まった。,そうこう,草藁そうこう,2100
花の,雌蕊,の形を観察する。,しずい,雌蕊しずい,2101
,岡陵,の遺跡を訪れる。,こうりょう,岡陵こうりょう,2102
,梁上,から鼠がのぞいている。,りょうじょう,梁上りょうじょう,2103
エネルギーが,横溢,している。,おういつ,横溢おういつ,2104
,惣領,息子を一人前に育てる。,そうりょう,惣領そうりょう,2105
,自彊,してやまず。,じきょう,自彊じきょう,2106
高官が,堵列,して国賓を出迎える。,とれつ,堵列とれつ,2107
事件の顚末を,宛転,と語った。,えんてん,宛転えんてん,2108
,一瞥,して去っていった。,いちべつ,一瞥いちべつ,3013
,辛酉,は天命が改まる年と言われる。,しんゆう,辛酉しんゆう,3014
,歌唄,して仏の功徳をたたえる。,かばい,歌唄かばい,3015
,胡乱,な者が近所をうろついている。,うろん,胡乱うろん,3016
,侃侃,として反戦の意を訴える。,かんかん,侃侃かんかん,3017
,叩頭,して師匠に非礼を詫びる。,こうとう,叩頭こうとう,3018
,没義道,に借金を取り立てる。,もぎどう,没義道もぎどう,3019
,大嘗会,が厳かに執り行われた。,だいじょうえ,大嘗会だいじょうえ,3020
日が,燦燦,と照りつける。,さんさん,燦燦さんさん,3021
山中の,藪沢,で川釣りを楽しむ。,そうたく,藪沢そうたく,3022
新しい,欽定,憲法が制定された。,きんてい,欽定きんてい,3023
組織的な不正が,掩蔽,されている。,えんぺい,掩蔽えんぺい,3024
母屋が,紅蓮,の炎に包まれる。,ぐれん,紅蓮ぐれん,3025
墓参して先祖の,廻向,をする。,えこう,廻向えこう,3026
上質の,繭糸,でスカーフを織る。,けんし,繭糸けんし,3027
聖職を,汚瀆,する。,おとく,汚瀆おとく,3028
,厨芥,を回収して堆肥に変える。,ちゅうかい,厨芥ちゅうかい,3029
国王が,儲嗣,に帝王学を授ける。,ちょし,儲嗣ちょし,3030
よく実った稲穂を,刈穫,する。,がいかく,刈穫がいかく,3031
物を,翫弄,して気を紛らす。,がんろう,翫弄がんろう,3032
心を定め,乞骸,の書をしたためる。,きつがい,乞骸きつがい,3033
,甜菜,から砂糖を精製する。,てんさい,甜菜てんさい,3034
緻密な計画も,画餅,に帰した。,がべい,画餅がべい,3035
その評論は,筆鋒,鋭い。,ひっぽう,筆鋒ひっぽう,3036
,頸聯,の対句が巧みな漢詩だ。,けいれん,頸聯けいれん,3037
事件の容疑者を捕えて,鞠問,する。,きくもん,鞠問きくもん,3038
,絢飾,の衣装で式に出席する。,けんしょく,絢飾けんしょく,3039
,砦柵,を越えて敵が自陣を襲撃した。,さいさく,砦柵さいさく,3040
,神輿,を清めるための儀式を行う。,みこし,神輿みこし,3041
,夜叉,はインドの鬼神である。,やしゃ,夜叉やしゃ,3042
裁判所から,勾引,状が届く。,こういん,勾引こういん,3067
都会の片隅で,兇刃,に倒れた。,きょうじん,兇刃きょうじん,3068
,凄惨,な場面に目をそむける。,せいさん,凄惨せいさん,3069
当年は干支で,壬寅,にあたる。,じんいん,壬寅じんいん,3070
物悲しい,残鶯,の声が響く。,ざんおう,残鶯ざんおう,3071
風凄まじく,砧杵,悲し。,ちんしょ,砧杵ちんしょ,3072
御所の,廟堂,を見学する。,びょうどう,廟堂びょうどう,3073
,婁宿,には、おひつじ座が含まれる。,ろうしゅく,婁宿ろうしゅく,3074
高僧が,巡錫,して民衆を導いた。,じゅんしゃく,巡錫じゅんしゃく,3075
,鳶肩,の男たちが神輿を担いだ。,えんけん,鳶肩えんけん,3076
,夙起,して散歩に出かける。,しゅっき,夙起しゅっき,3077
,厭世,の感にとらわれる。,えんせい,厭世えんせい,3078
,狐狸,にだまされる夢を見た。,こり,狐狸こり,3079
眉目秀麗な,令婿,であられる。,れいせい,令婿れいせい,3080
豪雨の影響で川が,溢決,する。,いっけつ,溢決いっけつ,3081
境内に,鴨脚,の大木が鎮座している。,おうきゃく,鴨脚おうきゃく,3082
仲間の中で,疏外感,を味わう。,そがいかん,疏外感そがいかん,3083
,倦厭,の表情を見せないようにする。,けんえん,倦厭けんえん,3084
,烏兎,が矢のように過ぎ去っていく。,うと,烏兎うと,3085
隣家の,嘆声,が耳につく。,たんせい,嘆声たんせい,3086
堂内を丁寧に,拭浄,する。,しょくじょう,拭浄しょくじょう,3087
,茅茨,をきらずに放りおく。,ぼうし,茅茨ぼうし,3088
,佳辰,に結納を取りかわす。,かしん,佳辰かしん,3089
門下に,魁傑,がそろう。,かいけつ,魁傑かいけつ,3090
資料を,瞥見,して講演する。,べっけん,瞥見べっけん,3091
前線の兵が突如として,舛錯,する。,せんさく,舛錯せんさく,3092
怨念を捨てて仇敵と,叶和,する。,きょうわ,叶和きょうわ,3093
,迺公,に歯向かう者は誰一人いない。,だいこう,迺公だいこう,3094
,衿契,と一晩酒を酌み交わす。,きんけい,衿契きんけい,3095
古代人の,骸骨,が発見された。,がいこつ,骸骨がいこつ,3096
夕方には,抜錨,する予定だ。,ばつびょう,抜錨ばつびょう,3121
,酋領,への贈り物を用意する。,しゅうりょう,酋領しゅうりょう,3122
,半帖,の紙に書をしたためる。,はんじょう,半帖はんじょう,3123
,晦冥,の中を進む。,かいめい,晦冥かいめい,3124
政府は,遺憾,の意を表明した。,いかん,遺憾いかん,3125
仏の,智慧,を学ぶ。,ちえ,智慧ちえ,3126
